Year,Female (0 - 14),Female (15 - 44),Female (45 & UP)
1960,29.76956855,39.169505927,31.060925526000002
1961,29.86617686,39.01402971,31.119793429999998
1962,29.80450407,38.987006674,31.208489253000003
1963,29.62403624,39.049004789,31.326958966
1964,29.37941187,39.150225933,31.470362203
1965,29.0964145,39.267434466,31.636151034
1966,28.75638889,39.43070415299999,31.812906962
1967,28.38141124,39.612689802000006,32.005898956
1968,27.9726978,39.822041631999994,32.205260562999996
1969,27.52336017,40.077779592,32.398860234000004
1970,27.03223337,40.38839649,32.579370141000005
1971,26.44150439,40.808083890000006,32.750411715
1972,25.86067991,41.251530838,32.887789254000005
1973,25.27588931,41.723426691,33.000683993
1974,24.67586129,42.227516832999996,33.096621873
1975,24.06412277,42.758255373,33.177621854
1976,23.52124159,43.253236476999994,33.225521933
1977,22.95481527,43.776489444999996,33.268695284
1978,22.39618459,44.29750914600001,33.306306267000004
1979,21.88995269,44.77288201099999,33.337165301
1980,21.46058703,45.174512109999995,33.364900858999995
1981,21.17308299,45.514248433999995,33.312668575000004
1982,20.95561024,45.786187888,33.258201873000004
1983,20.798987300000004,45.99103168199999,33.209981016
1984,20.6789872,46.136860323,33.18415248099999
1985,20.58093669,46.225299480000004,33.193763831
1986,20.60936804,46.217031299,33.173600665
1987,20.64083836,46.171569901,33.187591742
1988,20.67541046,46.085203545999995,33.239385987
1989,20.71529618,45.94559906600001,33.339104753
1990,20.75741585,45.743693466,33.498890683
1991,20.88727472,45.470374876,33.642350406999995
1992,21.00257572,45.157523177,33.839901101
1993,21.0910537,44.828548055,34.080398243000005
1994,21.13826066,44.508811299,34.352928044
1995,21.14026328,44.207116753,34.652619969999996
1996,21.18235514,43.871954994,34.945689864
1997,21.15140004,43.564996423000004,35.283603541
1998,21.07382959,43.271950115,35.654220295
1999,20.98262399,42.970797544999996,36.046578463
2000,20.88798796,42.654758650999995,36.45725339
2001,20.72304918,42.363548488999996,36.913402336000004
2002,20.59926896,42.043271004000005,37.357460036
2003,20.48204409,41.718323488,37.79963242
2004,20.3287788,41.418596844,38.25262436
2005,20.12812705,41.154627311000006,38.717245635
2006,20.07311988,40.784536017,39.142344103999996
2007,19.95499809,40.461948365,39.583053543000005
2008,19.80068832,40.175652639,40.02365904
2009,19.64596423,39.91051581000001,40.44351996100001
2010,19.50133887,39.663949667,40.834711469
2011,19.34155914,39.529032592,41.12940827
2012,19.15597766,39.433633092,41.410389245999994
2013,18.96332789,39.361600965,41.675071147000004
2014,18.77429383,39.298605468000005,41.927100702000004
2015,18.59255916,39.23487233,42.172568510999994
2016,18.40263266,39.200928628999996,42.396438706
2017,18.24666761,39.158784153,42.594548233999994
2018,18.10485359,39.115815350000005,42.779331056000004
