Year,Female (15 - 44)
1960,39.169505927
1961,39.01402971
1962,38.987006674
1963,39.049004789
1964,39.150225933
1965,39.267434466
1966,39.43070415299999
1967,39.612689802000006
1968,39.822041631999994
1969,40.077779592
1970,40.38839649
1971,40.808083890000006
1972,41.251530838
1973,41.723426691
1974,42.227516832999996
1975,42.758255373
1976,43.253236476999994
1977,43.776489444999996
1978,44.29750914600001
1979,44.77288201099999
1980,45.174512109999995
1981,45.514248433999995
1982,45.786187888
1983,45.99103168199999
1984,46.136860323
1985,46.225299480000004
1986,46.217031299
1987,46.171569901
1988,46.085203545999995
1989,45.94559906600001
1990,45.743693466
1991,45.470374876
1992,45.157523177
1993,44.828548055
1994,44.508811299
1995,44.207116753
1996,43.871954994
1997,43.564996423000004
1998,43.271950115
1999,42.970797544999996
2000,42.654758650999995
2001,42.363548488999996
2002,42.043271004000005
2003,41.718323488
2004,41.418596844
2005,41.154627311000006
2006,40.784536017
2007,40.461948365
2008,40.175652639
2009,39.91051581000001
2010,39.663949667
2011,39.529032592
2012,39.433633092
2013,39.361600965
2014,39.298605468000005
2015,39.23487233
2016,39.200928628999996
2017,39.158784153
2018,39.115815350000005
2019,41.846704949335475
2020,41.8357397125235
2021,41.82477447571152
2022,41.81380923889954
2023,41.802844002087554
2024,41.79187876527557
2025,41.78091352846359
2026,41.769948291651616
2027,41.75898305483963
2028,41.74801781802765
2029,41.737052581215664
2030,41.72608734440369
2031,41.715122107591704
2032,41.70415687077973
2033,41.69319163396774
2034,41.68222639715576
2035,41.671261160343775
2036,41.6602959235318
2037,41.64933068671982
2038,41.63836544990784
2039,41.627400213095854
2040,41.61643497628387
2041,41.60546973947189
2042,41.594504502659916
2043,41.58353926584793
2044,41.57257402903595
2045,41.561608792223964
2046,41.55064355541199
2047,41.539678318600004
2048,41.52871308178803
2049,41.51774784497604
2050,41.50678260816406
2051,41.495817371352075
2052,41.4848521345401
2053,41.47388689772812
2054,41.46292166091614
2055,41.451956424104154
2056,41.44099118729217
2057,41.43002595048019
2058,41.41906071366821
2059,41.40809547685623
2060,41.39713024004425
2061,41.386165003232264
2062,41.37519976642028
2063,41.364234529608304
2064,41.35326929279633
2065,41.34230405598434
2066,41.33133881917236
2067,41.320373582360375
2068,41.3094083455484
2069,41.29844310873642
2070,41.28747787192444
2071,41.276512635112454
2072,41.26554739830047
2073,41.25458216148849
2074,41.24361692467651
2075,41.23265168786453
2076,41.22168645105255
2077,41.210721214240564
2078,41.19975597742858
2079,41.188790740616604
2080,41.17782550380463
2081,41.16686026699264
2082,41.15589503018066
2083,41.144929793368675
2084,41.1339645565567
2085,41.12299931974472
2086,41.11203408293274
2087,41.101068846120754
2088,41.09010360930877
2089,41.07913837249679
2090,41.06817313568481
2091,41.05720789887283
2092,41.04624266206085
2093,41.035277425248864
2094,41.02431218843688
2095,41.013346951624904
2096,41.00238171481293
2097,40.99141647800094
2098,40.98045124118896
2099,40.969486004376975
2100,40.958520767565
2101,40.94755553075302
2102,40.93659029394104
2103,40.925625057129054
2104,40.91465982031707
2105,40.903694583505086
2106,40.89272934669311
2107,40.88176410988113
2108,40.87079887306915
2109,40.859833636257164
2110,40.84886839944518
2111,40.837903162633204
2112,40.82693792582123
2113,40.81597268900924
2114,40.80500745219726
2115,40.794042215385275
2116,40.7830769785733
2117,40.772111741761314
2118,40.76114650494934
2119,40.750181268137354
2120,40.73921603132537
2121,40.728250794513386
2122,40.71728555770141
2123,40.70632032088943
2124,40.69535508407745
2125,40.684389847265464
2126,40.67342461045348
2127,40.662459373641504
2128,40.65149413682953
2129,40.64052890001754
2130,40.62956366320556
2131,40.618598426393575
2132,40.6076331895816
2133,40.596667952769614
2134,40.58570271595764
2135,40.574737479145654
2136,40.56377224233367
2137,40.552807005521686
2138,40.54184176870971
2139,40.53087653189773
2140,40.51991129508575
2141,40.508946058273764
2142,40.49798082146178
2143,40.487015584649804
2144,40.47605034783783
2145,40.46508511102584
2146,40.45411987421386
2147,40.443154637401875
2148,40.4321894005899
2149,40.421224163777914
2150,40.41025892696594
2151,40.399293690153954
2152,40.38832845334197
2153,40.377363216529986
2154,40.36639797971801
2155,40.35543274290603
2156,40.34446750609405
2157,40.333502269282064
2158,40.32253703247008
2159,40.311571795658104
2160,40.30060655884613
2161,40.28964132203414
2162,40.27867608522216
2163,40.267710848410175
2164,40.25674561159819
2165,40.245780374786214
2166,40.23481513797424
2167,40.223849901162254
2168,40.21288466435027
2169,40.201919427538286
2170,40.19095419072631
2171,40.17998895391433
2172,40.16902371710235
2173,40.158058480290364
2174,40.14709324347838
2175,40.136128006666404
2176,40.12516276985442
2177,40.11419753304244
2178,40.10323229623046
2179,40.092267059418475
2180,40.08130182260649
2181,40.070336585794514
2182,40.05937134898254
2183,40.048406112170554
2184,40.03744087535857
2185,40.026475638546586
2186,40.01551040173461
2187,40.00454516492263
2188,39.99357992811065
2189,39.982614691298664
2190,39.97164945448668
2191,39.960684217674704
2192,39.94971898086272
2193,39.93875374405074
2194,39.92778850723876
2195,39.916823270426775
2196,39.90585803361479
2197,39.894892796802814
2198,39.88392755999084
2199,39.872962323178854
2200,39.86199708636687
2201,39.851031849554886
2202,39.84006661274291
2203,39.82910137593093
2204,39.81813613911895
2205,39.807170902306964
2206,39.79620566549498
2207,39.785240428683004
2208,39.77427519187102
2209,39.76330995505904
2210,39.75234471824706
2211,39.741379481435075
2212,39.73041424462309
2213,39.719449007811114
2214,39.70848377099914
2215,39.697518534187154
2216,39.68655329737517
2217,39.675588060563186
2218,39.66462282375121
2219,39.653657586939225
2220,39.64269235012725
2221,39.631727113315264
2222,39.62076187650328
2223,39.6097966396913
2224,39.59883140287932
2225,39.58786616606734
2226,39.57690092925536
2227,39.565935692443375
2228,39.55497045563139
2229,39.544005218819414
2230,39.53303998200744
2231,39.522074745195454
2232,39.51110950838347
2233,39.500144271571486
2234,39.48917903475951
2235,39.478213797947525
2236,39.46724856113555
2237,39.456283324323564
2238,39.44531808751158
2239,39.4343528506996
2240,39.42338761388762
2241,39.41242237707564
2242,39.40145714026366
2243,39.390491903451675
2244,39.37952666663969
2245,39.368561429827714
2246,39.35759619301574
2247,39.346630956203754
2248,39.33566571939177
2249,39.324700482579786
2250,39.31373524576781
2251,39.302770008955825
2252,39.29180477214385
2253,39.280839535331864
2254,39.26987429851988
2255,39.2589090617079
2256,39.24794382489592
2257,39.23697858808394
2258,39.22601335127196
2259,39.215048114459975
2260,39.20408287764799
2261,39.193117640836014
2262,39.18215240402404
2263,39.171187167212054
2264,39.16022193040007
2265,39.149256693588086
2266,39.13829145677611
2267,39.127326219964125
2268,39.11636098315215
2269,39.105395746340164
2270,39.09443050952818
2271,39.0834652727162
2272,39.07250003590422
2273,39.06153479909224
2274,39.05056956228026
2275,39.039604325468275
2276,39.02863908865629
2277,39.017673851844314
2278,39.00670861503233
2279,38.995743378220354
2280,38.98477814140837
2281,38.973812904596386
2282,38.9628476677844
2283,38.951882430972425
2284,38.94091719416045
2285,38.929951957348464
2286,38.91898672053648
2287,38.9080214837245
2288,38.89705624691252
2289,38.88609101010054
2290,38.87512577328856
2291,38.864160536476575
2292,38.85319529966459
2293,38.842230062852614
2294,38.83126482604063
2295,38.820299589228654
2296,38.80933435241667
2297,38.798369115604686
2298,38.7874038787927
2299,38.776438641980725
