,SEX,YEAR,TOTAL_POP,Under 15 years,15 to 44 years,Over 44 years
0,0,2016,323127513,60975069,128658426,133494018
1,0,2017,325511184,61092352,129255183,135163649
2,0,2018,327891911,61205187,130064329,136622395
3,0,2019,330268840,61298821,130980003,137990016
4,0,2020,332639102,61408926,131781029,139449147
5,0,2021,334998398,61510603,132727694,140760101
6,0,2022,337341954,61578612,133607935,142155407
7,0,2023,339665118,61663594,134440890,143560634
8,0,2024,341963408,61872755,135077110,145013543
9,0,2025,344234377,62077471,135458810,146698096
10,0,2026,346481182,62274597,135933332,148273253
11,0,2027,348695115,62510647,136320961,149863507
12,0,2028,350872007,62744575,136702502,151424930
13,0,2029,353008224,62958386,137156698,152893140
14,0,2030,355100730,63157418,137476368,154466944
15,0,2031,357147329,63369791,137797353,155980185
16,0,2032,359146709,63492227,138206165,157448317
17,0,2033,361098559,63593882,138541250,158963427
18,0,2034,363003410,63677325,138767204,160558881
19,0,2035,364862145,63746341,138804223,162311581
20,0,2036,366676312,63805390,138816750,164054172
21,0,2037,368447857,63858512,138892822,165696523
22,0,2038,370178704,63909321,139063295,167206088
23,0,2039,371871238,63960827,139275913,168634498
24,0,2040,373527973,64015161,139551030,169961782
25,0,2041,375151805,64073670,139893122,171185013
26,0,2042,376746115,64137994,140246664,172361457
27,0,2043,378314343,64210172,140593332,173510839
28,0,2044,379860859,64292027,140923768,174645064
29,0,2045,381390297,64384956,141173081,175832260
30,0,2046,382907447,64489878,141466908,176950661
31,0,2047,384415207,64607025,141841864,177966318
32,0,2048,385917628,64735923,142186103,178995602
33,0,2049,387418788,64875569,142487653,180055566
34,0,2050,388922201,65024538,142785800,181111863
35,0,2051,390430803,65181130,143060779,182188894
36,0,2052,391947055,65343554,143292817,183310684
37,0,2053,393472783,65510346,143535379,184427058
38,0,2054,395009307,65680116,143896205,185432986
39,0,2055,396557404,65851668,144252227,186453509
40,0,2056,398117875,66023871,144600936,187493068
41,0,2057,399690963,66195401,144990440,188505122
42,0,2058,401276590,66365036,145383272,189528282
43,0,2059,402874337,66531599,145764012,190578726
44,0,2060,404483055,66694002,146140051,191649002
1620,1,2016,159078946,31135497,65045419,62898030
1621,1,2017,160291393,31200322,65384981,63706090
1622,1,2018,161500535,31263328,65833673,64403534
1623,1,2019,162705430,31315661,66331794,65057975
1624,1,2020,163904476,31374555,66768248,65761673
1625,1,2021,165095479,31427407,67284243,66383829
1626,1,2022,166276189,31463305,67770112,67042772
1627,1,2023,167444610,31509186,68227001,67708423
1628,1,2024,168598780,31618532,68583667,68396581
1629,1,2025,169737644,31724742,68806082,69206820
1630,1,2026,170863115,31822804,69088061,69952250
1631,1,2027,171971097,31942608,69321949,70706540
1632,1,2028,173059792,32061422,69548665,71449705
1633,1,2029,174127772,32166758,69811218,72149796
1634,1,2030,175173907,32267754,69995202,72910951
1635,1,2031,176197567,32373614,70174930,73649023
1636,1,2032,177198525,32435562,70395592,74367371
1637,1,2033,178177149,32486856,70578701,75111592
1638,1,2034,179134076,32528821,70703876,75901379
1639,1,2035,180070183,32563378,70733067,76773738
1640,1,2036,180986631,32592840,70744823,77648968
1641,1,2037,181884584,32619267,70776489,78488828
1642,1,2038,182765392,32644512,70849569,79271311
1643,1,2039,183630390,32670145,70947286,80012959
1644,1,2040,184480950,32697206,71077875,80705869
1645,1,2041,185318569,32726407,71246677,81345485
1646,1,2042,186144951,32758601,71426575,81959775
1647,1,2043,186961787,32794824,71601337,82565626
1648,1,2044,187771203,32835999,71767910,83167294
1649,1,2045,188575210,32882853,71892705,83799652
1650,1,2046,189375909,32935855,72043779,84396275
1651,1,2047,190174774,32995140,72237562,84942072
1652,1,2048,190973487,33060437,72415613,85497437
1653,1,2049,191773689,33131231,72570692,86071766
1654,1,2050,192576740,33206803,72722080,86647857
1655,1,2051,193383616,33286278,72859625,87237713
1656,1,2052,194195115,33368740,72975379,87850996
1657,1,2053,195011724,33453447,73097522,88460755
1658,1,2054,195833707,33539675,73279546,89014486
1659,1,2055,196661137,33626794,73458015,89576328
1660,1,2056,197493944,33714231,73628285,90151428
1661,1,2057,198331956,33801303,73820731,90709922
1662,1,2058,199174653,33887391,74014668,91272594
1663,1,2059,200021421,33971903,74199095,91850423
1664,1,2060,200871353,34054277,74384132,92432944
3240,2,2016,164048567,29839572,63613007,70595988
3241,2,2017,165219791,29892030,63870202,71457559
3242,2,2018,166391376,29941859,64230656,72218861
3243,2,2019,167563410,29983160,64648209,72932041
3244,2,2020,168734626,30034371,65012781,73687474
3245,2,2021,169902919,30083196,65443451,74376272
3246,2,2022,171065765,30115307,65837823,75112635
3247,2,2023,172220508,30154408,66213889,75852211
3248,2,2024,173364628,30254223,66493443,76616962
3249,2,2025,174496733,30352729,66652728,77491276
3250,2,2026,175618067,30451793,66845271,78321003
3251,2,2027,176724018,30568039,66999012,79156967
3252,2,2028,177812215,30683153,67153837,79975225
3253,2,2029,178880452,30791628,67345480,80743344
3254,2,2030,179926823,30889664,67481166,81555993
3255,2,2031,180949762,30996177,67622423,82331162
3256,2,2032,181948184,31056665,67810573,83080946
3257,2,2033,182921410,31107026,67962549,83851835
3258,2,2034,183869334,31148504,68063328,84657502
3259,2,2035,184791962,31182963,68071156,85537843
3260,2,2036,185689681,31212550,68071927,86405204
3261,2,2037,186563273,31239245,68116333,87207695
3262,2,2038,187413312,31264809,68213726,87934777
3263,2,2039,188240848,31290682,68328627,88621539
3264,2,2040,189047023,31317955,68473155,89255913
3265,2,2041,189833236,31347263,68646445,89839528
3266,2,2042,190601164,31379393,68820089,90401682
3267,2,2043,191352556,31415348,68991995,90945213
3268,2,2044,192089656,31456028,69155858,91477770
3269,2,2045,192815087,31502103,69280376,92032608
3270,2,2046,193531538,31554023,69423129,92554386
3271,2,2047,194240433,31611885,69604302,93024246
3272,2,2048,194944141,31675486,69770490,93498165
3273,2,2049,195645099,31744338,69916961,93983800
3274,2,2050,196345461,31817735,70063720,94464006
3275,2,2051,197047187,31894852,70201154,94951181
3276,2,2052,197751940,31974814,70317438,95459688
3277,2,2053,198461059,32056899,70437857,95966303
3278,2,2054,199175600,32140441,70616659,96418500
3279,2,2055,199896267,32224874,70794212,96877181
3280,2,2056,200623931,32309640,70972651,97341640
3281,2,2057,201359007,32394098,71169709,97795200
3282,2,2058,202101937,32477645,71368604,98255688
3283,2,2059,202852916,32559696,71564917,98728303
3284,2,2060,203611702,32639725,71755919,99216058
